Guide Name,Guide ID,Guide URL,Author,Views,Subjects,Tags
Library Resources for Instructional Designers,340011,https://libguides.asu.edu/ids,Charisa Deremiah,44,"Education, General, Multidisciplinary","""asu library reading lists"", ""asu library resource organizer"", ""asu online"", ""course resource organizer"", ""course resource services"", badges, citation, crs, digital credentials, faculty, faculty orientation, instruction, instruction librarian, instructional design, instructional designers, instructional librarian, learning, learning badges, liblessons, library learning badges, library tutorials, lro, teaching, tutorials"
Library Resources for Thunderbirds,557006,https://libguides.asu.edu/thunderbirdlibrary,Wes Edens,111,Business and Economics,None
Life Sciences,263766,https://libguides.asu.edu/lifesciences,Olivia Sparks,347,"Life Sciences, Sciences, Sustainability and Environment",None
LIN 597: MTESOL Capstone,1076745,https://libguides.asu.edu/lin597,Joe Buenker,46,Languages and Linguistics,Teaching of English as a Second or Other Language
Literature Reviews and Annotated Bibliographies,264095,https://libguides.asu.edu/LiteratureReviews,Shannon Nickle,"1,624","General, History",None
Manifestos and Radical Writing,615939,https://libguides.asu.edu/manifesto,Cami Garland,219,None,"breanne fahs, hate speech, jhr, manifestos, mas, radical feminism, radicalism, social justice, women and gender studies, wst"
March Mammal Madness,512323,https://libguides.asu.edu/MarchMammalMadness,Anali Perry,"81,813",None,None
"Martin Luther King, Jr. (1929-1968)",1167012,https://libguides.asu.edu/mlk,Joe Buenker,245,"Arts and Humanities, Biographies, Education, English, History, Humanities, Interdisciplinary Studies, Languages and Linguistics, Literature, Multidisciplinary, Philosophy, Social Sciences",None
Materials Science and Engineering,263771,https://libguides.asu.edu/mse,Eric Prosser,149,"Engineering and Computer Science, Sciences","lasengsubjectlist, materials, materials_science"
Mathematics and Statistical Sciences,263792,https://libguides.asu.edu/mathstats,Karalyn Ostler,86,"Mathematics and Physics, Sciences","math, mathematics, pll, statistical_sciences"
Mechanical and Aerospace Engineering,263764,https://libguides.asu.edu/mae,Eric Prosser,82,Engineering and Computer Science,"aerospace_engineering, automotive_engineering, lasengsubjectlist, mechanical_engineering"
Media Literacy,1063134,https://libguides.asu.edu/media-literacy,Joe Buenker,84,None,None
MIC 401: Research Paper,264263,https://libguides.asu.edu/mic401,Olivia Sparks,37,None,"mic 401, microbiology, research paper"
Misinformation,1442432,https://libguides.asu.edu/misinformation,Sierra Schuman,351,None,None
MKT 302 Applied Marketing Management &amp; Leadership,497241,https://libguides.asu.edu/MKT302,Wes Edens,387,Business and Economics,None
MKT 303: Honors Marketing Theory &amp; Practice,1482243,https://libguides.asu.edu/MKT303,Wes Edens,124,Business and Economics,None
MKT 365: Advertising Management,558642,https://libguides.asu.edu/MKT365,Wes Edens,43,Business and Economics,marketing
MKT 395: Essentials of Advertising and Marketing Communication,559830,https://libguides.asu.edu/MKT395,Wes Edens,41,Business and Economics,marketing
MKT 550: Product Management &amp;amp; Innovation,1325874,https://libguides.asu.edu/mkt550,Wes Edens,192,Business and Economics,"marketing, marketing_plans, olsen"
